Hospital_Name,Location,Location_Coordinates,State,District,Discipline_Systems_of_Medicine,Lat,Lon
"Universal Superspeciality Dental Hospital, Kondapur","1-62/1, Sri Tirumala Subhash Complex, Above Sujana Supermarket, 
Kothaguda X-Roads, Kondapur","17.4622103, 78.3568492",Andhra Pradesh,Hyderabad,Allopathic,17.4622103,78.3568492
Sunshine Heart Institute,"Penderghast Road, Opposite Parsi Dharamsala, Behind Paradise Hotel, Secunderabad","17.4399295, 78.4982741",Andhra Pradesh,Hyderabad,Allopathic,17.4399295,78.4982741
"CGHS Dispensary No.I, Charmina","23-1-693/1/1, Moghulpura","31.5692047, 74.3797556",Andhra Pradesh,Hyderabad,Allopathic,31.5692047,74.3797556
"CGHS Dispensary No.II, Humayunagar","10-3-273/10, Humayunnagar","17.3991205, 78.4460041",Andhra Pradesh,Hyderabad,Allopathic,17.3991205,78.4460041
"CGHS Dispensary No.III, 
Secunderabad","6-1-103/5, Padmaraonagar, 
Secundarabad","17.4218188, 78.5031792",Andhra Pradesh,Hyderabad,Allopathic,17.4218188,78.5031792
"CGHS Dispensary No.IV, 
Begumpet","K.S.Bhawan, Begumpet","17.385044, 78.486671",Andhra Pradesh,Hyderabad,Allopathic,17.385044,78.486671
"CGHS Dispensary No.VI, 
Kachiguda","Kendriya Sadan, Sultanbazar","17.3852673, 78.4849747",Andhra Pradesh,Hyderabad,Allopathic,17.3852673,78.4849747
"CGHS Dispensary No.VII, 
Malakpet","16-3-994/A/1, Chanchalguda","17.37086, 78.499155",Andhra Pradesh,Hyderabad,Allopathic,17.37086,78.499155
"CGHS Dispensary No.VII, 
Kanchanbagh","DRDO Complex, Kanchanbagh","17.3354406, 78.4989506",Andhra Pradesh,Hyderabad,Allopathic,17.3354406,78.4989506
"CGHS Dispensary No.IX, 
Alwal, Secunderabad","8-88 and 89, Alwal, Senderabad","17.4980973, 78.5027043",Andhra Pradesh,Hyderabad,Allopathic,17.4980973,78.5027043
"CGHS Dispensary No.XI, 
Kakatiyanagar","9-4-84/20, Kakatiyanagar","17.4157401, 78.5410169",Andhra Pradesh,Hyderabad,Allopathic,17.4157401,78.5410169
"CGHS Dispensary No.XII, 
Dilsuknagar","7/2A, Balaji Complex, Dilsuknagar","17.3681151, 78.523757",Andhra Pradesh,Hyderabad,Allopathic,17.3681151,78.523757
"CGHS Dispensary No.XII, 
Tamaka","St.No.5, Tarnaka","17.385044, 78.486671",Andhra Pradesh,Hyderabad,Allopathic,17.385044,78.486671
"PC-I, KS Bhawan","KS Bhavan, Begumpet","17.385044, 78.486671",Andhra Pradesh,Hyderabad,Allopathic,17.385044,78.486671
"PC-II, AGS Office Bldg.",AGS Office Building,"17.385044, 78.486671",Andhra Pradesh,Hyderabad,Allopathic,17.385044,78.486671
PC Hyderabad,CE Building,"17.385044, 78.486671",Andhra Pradesh,Hyderabad,Allopathic,17.385044,78.486671
"Rainbow Hospital for Women and Children, Banjara Hills","22, Road Number 4, Old Road Number 10, Karvy Lanes, Banjara Hills","17.4138277, 78.4397584",Andhra Pradesh,Hyderabad,Allopathic,17.4138277,78.4397584
"Rainbow Hospital for Women and Children, Secunderabad","Plot C 17, Vikrampuri Colony, Secunderabad","17.4551786, 78.4999876",Andhra Pradesh,Hyderabad,Allopathic,17.4551786,78.4999876
Yashoda Super Speciality Hospital,"Nalgonda X Roads, Malakpet","17.3755207, 78.4980753",Andhra Pradesh,Hyderabad,Allopathic,17.3755207,78.4980753
Yashoda Super Speciality Hospital,Alexander Road,"17.385044, 78.486671",Andhra Pradesh,Hyderabad,Allopathic,17.385044,78.486671
Omega Hospital,"MLA Colony Main Raod, Road Number 12, Banjara Hills","17.4101779, 78.4284907",Andhra Pradesh,Hyderabad,Allopathic,17.4101779,78.4284907
"Prime Hospital, Kukatpally","MIG 113 and 114, Road Number 1, KPHB Colony","17.4830292, 78.39514",Andhra Pradesh,Hyderabad,Allopathic,17.4830292,78.39514
"Lotus Children's Hospital, Lakdikapul","D.Number 6-2-29
","17.385044, 78.486671",Andhra Pradesh,Hyderabad,Allopathic,17.385044,78.486671
"Lotus Children's Hospital, Kukatpally","HIG Number 15, JNTU, Hi tech City Road, KPHB","17.4861948, 78.3892697",Andhra Pradesh,Hyderabad,Allopathic,17.4861948,78.3892697
Udai Omni Hospital,"5-9-94, Chapel Road","17.385044, 78.486671",Andhra Pradesh,Hyderabad,Allopathic,17.385044,78.486671
Omni Hospital,"11-9-46, Sri Sai Shivani Complex, Opposite P.V.T Market, Kothapet 'X' Road, New Nagole Main Road, Dilsukhnagar, Laxmi Nagar Colony, Kothapet","17.368162, 78.535811",Andhra Pradesh,Hyderabad,Allopathic,17.368162,78.535811
Continental Hospital Limited,"Plot Number 3, Road Number 2, I.T and Financial Dist, Nanakramguda, Gachibowli","17.4226283, 78.3364349",Andhra Pradesh,Hyderabad,Allopathic,17.4226283,78.3364349
"Aditya Hospital, ABIDS","4-1-16, Boggulakunta, Tilak Road, Abids","17.390546, 78.481084",Andhra Pradesh,Hyderabad,Allopathic,17.390546,78.481084
Sai Vani Super Specialty Hospital,"1-2-365/36/6 and 7, Opposite Indira Park, Ramakrishna Math Road, Domalguda","17.408118, 78.484689",Andhra Pradesh,Hyderabad,Allopathic,17.408118,78.484689
"Ankura Hospital for Children and Women, Kukatpally","JNTU Hitech City Road, 7th Phase, KPHB Colony, Near Hitech City Railway Station","17.4697664, 78.3853073",Andhra Pradesh,Hyderabad,Allopathic,17.4697664,78.3853073
"Ankura Hospital for Children and Women, Secunderabad","Near Yatri Nivas, SP Road, Opposite Metro Pillar Number 23, Beside Dominos Pizza, Begumpet","17.4447068, 78.4663812",Andhra Pradesh,Hyderabad,Allopathic,17.4447068,78.4663812
Anupama Hospitalÿ,"6th Phase, JNTU Road Kukatpally","17.4904322, 78.3926349",Andhra Pradesh,Hyderabad,Allopathic,17.4904322,78.3926349
Apollo DRDO Hospital,"Santosh Nagar, Kanchanbagh","17.3909698, 78.4379132",Andhra Pradesh,Hyderabad,Allopathic,17.3909698,78.4379132
Apollo Hospital,"Pollicetty Towers, St.John's Road, Bhagyanagar Colony, Besides Keyes High School, Secunderabad","17.4399295, 78.4982741",Andhra Pradesh,Hyderabad,Allopathic,17.4399295,78.4982741
Apollo Hospital,Jubilee Hills,"17.385044, 78.486671",Andhra Pradesh,Hyderabad,Allopathic,17.385044,78.486671
Apollo Emergency Centre,"16-2-705/5/5, Opposite Santhi Fire Works, Malakpet","17.3730927, 78.4900381",Andhra Pradesh,Hyderabad,Allopathic,17.3730927,78.4900381
Asha Hospital,"Plot Number 298, Road Number 14, Banjara Hills","17.4227225, 78.4283057",Andhra Pradesh,Hyderabad,Allopathic,17.4227225,78.4283057
Bristlecone Hospital,"Street Number 6, Barkatpura","31.3929171, 73.0853019",Andhra Pradesh,Hyderabad,Allopathic,31.3929171,73.0853019
Care Hospital,Exhibition Grounds Road,"45.0387777, -63.1587374",Andhra Pradesh,Hyderabad,Allopathic,45.0387777,-63.1587374
Guru Nanak Care Hospital,"1-4-908/7/1, Musheerabad
","17.4136932, 78.4979469",Andhra Pradesh,Hyderabad,Allopathic,17.4136932,78.4979469
Challa Eye Care Centre,"Lane Beside Harley Davidson Showroom, Sagar Soceity Main Road, Road Number 2, Banjara Hills","17.4245471, 78.4310742",Andhra Pradesh,Hyderabad,Allopathic,17.4245471,78.4310742
Challa Hospital,"7-1-71/A/1, Dharam Karam Road, Ameerpet","17.4396894, 78.4506241",Andhra Pradesh,Hyderabad,Allopathic,17.4396894,78.4506241
Disha Children's Hospital,"3-11-142/N, DVN Complex, Opposite to Kamineni Hospital, RTC Colony, LB Nagar","17.3499297, 78.5522438",Andhra Pradesh,Hyderabad,Allopathic,17.3499297,78.5522438
Dr.Agarwal's Eye Hospital,"No 16-2-669/C, Shop No 1-4, Lakshmi Appartments, Malakpet","17.3730927, 78.4900381",Andhra Pradesh,Hyderabad,Allopathic,17.3730927,78.4900381
Dr.Ramayya's Urology Nephrology Institute and Hospital Private Limited,"5-9-34/2, Basheer Bagh","17.3990949, 78.4773256",Andhra Pradesh,Hyderabad,Allopathic,17.3990949,78.4773256
Global Eye Hospital,"Plot Number 197, Road Number 1, KPHB Colony, Kukatpally","17.4875018, 78.3997822",Andhra Pradesh,Hyderabad,Allopathic,17.4875018,78.3997822
Goodwill Kidney and Surgical Centre,"House Number 10-5-13/2/A, Road Number 1, Opposite Khaja Function Hall, Banjara Hills","17.3985691, 78.4444924",Andhra Pradesh,Hyderabad,Allopathic,17.3985691,78.4444924
Hyderabad Eye Centre,"3-6-217/1, St.Number15, Near Vasavi Public School, Himayathnagar","17.401414, 78.480615",Andhra Pradesh,Hyderabad,Allopathic,17.401414,78.480615
Icon Hospital,"540/1and 2, JNTU Hitech City Road, VI-Phase, KPHB Colony","17.4853956, 78.3903861",Andhra Pradesh,Hyderabad,Allopathic,17.4853956,78.3903861
Janapareddy Hospital,"26/A, Sikh Road, Sikh Village, Near Diamond Point, Secunderabad","17.461399, 78.4908723",Andhra Pradesh,Hyderabad,Allopathic,17.461399,78.4908723
Kamineni Hospital,King Koti,"17.385044, 78.486671",Andhra Pradesh,Hyderabad,Allopathic,17.385044,78.486671
Kamineni Fertility Centre,King Koti,"17.385044, 78.486671",Andhra Pradesh,Hyderabad,Allopathic,17.385044,78.486671
Lions Sadhuram Eye Hospital,"1-2-8, Domalguda","17.385044, 78.486671",Andhra Pradesh,Hyderabad,Allopathic,17.385044,78.486671
Live Life Hospital,"Plot 729, Jubilee Hills, Road 36","17.4380983, 78.3994013",Andhra Pradesh,Hyderabad,Allopathic,17.4380983,78.3994013
Majestic Hospital,Langar Houz,"17.385044, 78.486671",Andhra Pradesh,Hyderabad,Allopathic,17.385044,78.486671
Maxivision Eye Hospital,"1-11-252/1A-1D, Alladin Mansion, Street Number 3, Begumpet","17.4481595, 78.4619685",Andhra Pradesh,Hyderabad,Allopathic,17.4481595,78.4619685
Medwin Hospital,"Raghava Ratna Towers, Nampally","17.393152, 78.4726553",Andhra Pradesh,Hyderabad,Allopathic,17.393152,78.4726553
Motherhood Hospital,"Road Number 12, Banjara Hills","17.4104308, 78.4374452",Andhra Pradesh,Hyderabad,Allopathic,17.4104308,78.4374452
Motherhood Hospital,"3rd Floor, Millennium Square, Near Commissionerate of Police, Gachibowli","17.4400802, 78.3489168",Andhra Pradesh,Hyderabad,Allopathic,17.4400802,78.3489168
Neelima,"7-2-1735, CZech Colony, Sanath Nagar","17.456708, 78.4390542",Andhra Pradesh,Hyderabad,Allopathic,17.456708,78.4390542
NeoRetina,"Chapel Road, Abids","17.385044, 78.486671",Andhra Pradesh,Hyderabad,Allopathic,17.385044,78.486671
Pace Hospital,"SP Road, Near Begumpet Old Airport, Begumpet","17.4447068, 78.4663812",Andhra Pradesh,Hyderabad,Allopathic,17.4447068,78.4663812
Pragna Hospital,"6-3-347/22B/1, Dwarakapuri Colony, Near Saibaba Temple","17.424611, 78.450531",Andhra Pradesh,Hyderabad,Allopathic,17.424611,78.450531
Prasad Hospital,"MIG 303, KPHB, Road Number 4, Remedy Hospital Lane, Kukatpally","17.4947934, 78.3996441",Andhra Pradesh,Hyderabad,Allopathic,17.4947934,78.3996441
Sridevi Nursing Home,"12-11-253, Prasad Hospitals, Warasiguda, Secunderabad","17.4164876, 78.5135489",Andhra Pradesh,Hyderabad,Allopathic,17.4164876,78.5135489
Preeti Urology and Kidney Hospital,KPHB,"17.385044, 78.486671",Andhra Pradesh,Hyderabad,Allopathic,17.385044,78.486671
Raghava Multi Speciality Hospitalÿ,"D.Number 8-3-214/18, Srinivasa Colony West","17.4119955, 78.571417",Andhra Pradesh,Hyderabad,Allopathic,17.4119955,78.571417
Ram Hospital,"57/A, Shapur Nagar, I.D.A., Jeedimetla","17.5144468, 78.4453532",Andhra Pradesh,Hyderabad,Allopathic,17.5144468,78.4453532
Remedy Hosptials,"Road Number 4, K P H B Colony, Kukatpally","17.4914639, 78.4159255",Andhra Pradesh,Hyderabad,Allopathic,17.4914639,78.4159255
Sagar Lal Memorial Hospital and Matadin Goel Research Center,"H.No 1-5-551, Musheerabad","17.4196548, 78.4990004",Andhra Pradesh,Hyderabad,Allopathic,17.4196548,78.4990004
Sankhya Hospital,"C -15 1st Road, KPHB Colony, Opposite SBT Bank, Kukatpally","17.4947934, 78.3996441",Andhra Pradesh,Hyderabad,Allopathic,17.4947934,78.3996441
Sri Srinivasa Hospital,"C.E Colony, Santosh Nagar","18.4451474, 73.855663",Andhra Pradesh,Hyderabad,Allopathic,18.4451474,73.855663
Supraja Hospital,Nagole X Road,"17.385044, 78.486671",Andhra Pradesh,Hyderabad,Allopathic,17.385044,78.486671
Suraksha Childrens Hospital,"12-13-43, Beside Tarnaka Flyover, Tarnaka","17.426249, 78.5316232",Andhra Pradesh,Hyderabad,Allopathic,17.426249,78.5316232
Surakshaka Multi Speciality Hospital,"MIG 218, KPHB Main Road, Kukatpally","17.4916972, 78.4018218",Andhra Pradesh,Hyderabad,Allopathic,17.4916972,78.4018218
"Swarup Eye Centre, Punjagutta","145, Dwarakapuri Colony","17.4251835, 78.4503274",Andhra Pradesh,Hyderabad,Allopathic,17.4251835,78.4503274
"Swarup Eye Centre, Chapel Road","5-9-163, Chapel Road, Near Staneley College, Abids","17.393, 78.473",Andhra Pradesh,Hyderabad,Allopathic,17.393,78.473
The Deccan Hospitalÿ,"06-6-903/A and B, Somajiguda","17.4237016, 78.4583888",Andhra Pradesh,Hyderabad,Allopathic,17.4237016,78.4583888
Udbhava Children's Hospital,"MIG-196, Road Number1, K.P.H.B.","19.0591772, 72.8468228",Andhra Pradesh,Hyderabad,Allopathic,19.0591772,72.8468228
"Vasan Healthcare Private Limited, Ameerpet","Number 8-3-903/A, Nagaarjuna Nagar Colony, Yellareddyguda, Ameerpet","17.431748, 78.44654",Andhra Pradesh,Hyderabad,Allopathic,17.431748,78.44654
"Vasan Healthcare Private Limited, Begumpet","1-10-44/1, Begumpet Main Road","17.411757, 78.4546822",Andhra Pradesh,Hyderabad,Allopathic,17.411757,78.4546822
"Vasan Healthcare Private Limited, Chandanagar","86, Chandanagar, Serilingampally, Rangareddy District","17.4836979, 78.3158338",Andhra Pradesh,Hyderabad,Allopathic,17.4836979,78.3158338
"Vasan Healthcare Private Limited, Himayath Nagar","3-6-611, Street Number 8, Himayath Nagar","17.4020703, 78.4870568",Andhra Pradesh,Hyderabad,Allopathic,17.4020703,78.4870568
"Vasan Healthcare Private Limited, Jubilee Hills","1132/A, Road Number 36, Jubilee Hills","17.4275372, 78.4142451",Andhra Pradesh,Hyderabad,Allopathic,17.4275372,78.4142451
"Vasan Healthcare Private Limited, Mehidipatnam","No.10-3-13, Famous Plaza, Mehidipatnam","17.3945149, 78.4425619",Andhra Pradesh,Hyderabad,Allopathic,17.3945149,78.4425619
"Vasan Healthcare Private Limited, Santosh Nagar","Plot Number 15, 17-1-382/R/15, A.P.S.R.T.C.Officers Colony, Santosh Nagar, Saidabad","17.3695953, 78.495794",Andhra Pradesh,Hyderabad,Allopathic,17.3695953,78.495794
Vijay Marie Hospital,"H.Number 10-673/1, Veernagar, Saifabad","17.4036772, 78.4560922",Andhra Pradesh,Hyderabad,Allopathic,17.4036772,78.4560922
Vijaya Health Care,"8-2-186, Near Passport Office, Secunderabad","17.4399295, 78.4982741",Andhra Pradesh,Hyderabad,Allopathic,17.4399295,78.4982741
Gandhi Medical College and Hospital,"Musheerabad, Secunderabad","17.4196548, 78.4990004",Andhra Pradesh,Hyderabad,Allopathic,17.4196548,78.4990004
"Centre For Sight, Rajahmundry","D.No.17-1-43, A.P.Paper Mills Road
Seethampeta, East Godavari District
Rajahmundry
","17.0209155, 81.7711827",Andhra Pradesh,East Godavari,Allopathic,17.0209155,81.7711827
"Centre For Sight, Banjara Hills","Ashoka Capitol Building
Road No 2, Banjara Hills","17.4249353, 78.4226378",Andhra Pradesh,Hyderabad,Allopathic,17.4249353,78.4226378
"Centre For Sight, Kurnool","H.No.46/87-56, Woodland compound, Adjacent to Gowri Gopal Hospital, Budhawarpet, Kurnool","15.8281257, 78.0372792",Andhra Pradesh,Hyderabad,Allopathic,15.8281257,78.0372792
Manipal Super Specialty Hospital,"Soumya Nagar, Tadepalli, Vijayawada, Guntur Dist, Vijayawada","16.5061743, 80.6480153",Andhra Pradesh,Krishna,Allopathic,16.5061743,80.6480153
VIMHANS Hospital,"V.V.Rao Street, Suryaraopet, 
Vijayawada","16.5061743, 80.6480153",Andhra Pradesh,Krishna,Allopathic,16.5061743,80.6480153
Ramakrishna Mission Hospital,"P.O.- R.K.Mission, Itanagar","27.0702523, 93.5944001",Arunachal Pradesh,Lower Subansiri,Allopathic,27.0702523,93.5944001
District Hospital,"District Hospital, Daporijo, Upper Subansiri","27.786802, 94.3359635",Arunachal Pradesh,Upper Subansiri,Allopathic,27.786802,94.3359635
Silchar Medical College and Hospital (SMCH),"Silchar Medical College, 
Ghungoor, Silchar","24.7630479, 92.7968419",Assam,Cachar,Allopathic,24.7630479,92.7968419
Assam Medical College and Hospital (AMCH),"Assam Medical College, 
Barbari, Dibrugarh","27.4720664, 94.9519733",Assam,Dibrugarh,Allopathic,27.4720664,94.9519733
Jorhat Medical College And Hospital,"Jorhat Medical College and Hospital, Konwar Path, Barbheta
P.O.Jorhat","26.7465203, 94.2025859",Assam,Jorhat,Allopathic,26.7465203,94.2025859
Gauhati Medical College and Hospital (GMCH),"Gauhati Medical College, 
GMCH Complex
GMCH Rd, Bhangagarh
Guwahat","26.1445169, 91.7362365",Assam,Kamrup,Allopathic,26.1445169,91.7362365
Tezpur Medical College and Hospital,"NH-37A, Tezpur","26.6528495, 92.7925592",Assam,Sonitpur,Allopathic,26.6528495,92.7925592
Darbhanga Medical College and Hospital,"Laheriasaria, Darbhanga","26.1193569, 85.9048962",Bihar,Darbhanga,Allopathic,26.1193569,85.9048962
Sri Krishna Memorial College and Hospital,P.O.Umanagar,"26.1208876, 85.3647201",Bihar,Muzaffarpur,Allopathic,26.1208876,85.3647201
Patna Medical College and Hospital,Patna Medical College,"21.2441227, 81.620034",Bihar,Patna,Allopathic,21.2441227,81.620034
Nalanda Medical College and Hospital,Kankarbagh Main Road,"25.5956821, 85.1405668",Bihar,Patna,Allopathic,25.5956821,85.1405668
Indira Gandhi Institute of Medical Sciences,"Bailey Road, Shiekhpura","25.6043971, 85.093884",Bihar,Patna,Allopathic,25.6043971,85.093884
Paras HMRI Hospital,"Raza Bazar, Baily Road","23.7408738, 90.4024452",Bihar,Patna,Allopathic,23.7408738,90.4024452
Kurji Holy Family Hospital,Sadaquat Ashram,"25.5940947, 85.1375645",Bihar,Patna,Allopathic,25.5940947,85.1375645
Sahyog Hospital,"40, Patliputra colony","25.627595, 85.1080322",Bihar,Patna,Allopathic,25.627595,85.1080322
Dr. Bimal Hospital and Research Center,"Sheikhpura, Raza Bazar, Baily Road","25.6046194, 85.0884757",Bihar,Patna,Allopathic,25.6046194,85.0884757
Magadh Hospital,"2B, Rajendra Nagar","25.6062727, 85.1650548",Bihar,Patna,Allopathic,25.6062727,85.1650548
Arvind Hospital,"Near KhudaBaqsh Library, Ashok Rajpath, Makhania Kuan, Lalbagh","25.612207, 85.1980334",Bihar,Patna,Allopathic,25.612207,85.1980334
Government Medical College and Hospital,Sector-32 Chandigarh,"30.6892033, 76.7538467",Chandigarh,Chandigarh,Allopathic,30.6892033,76.7538467
Centre For Sight,"S.C.O - 809- 810, 
17G, Sector 22A","-12.0238112, -76.9132212",Chandigarh,Chandigarh,Allopathic,-12.0238112,-76.9132212
Chaitanya Hospital,"Site No.1 and 2, Sector 44-C, Chandigarh
 
","30.7433088, 76.7971802",Chandigarh,Chandigarh,Allopathic,30.7433088,76.7971802
Silver Oaks Hospitals,"Phase IX, Sector - 63, SAS Nagar, Mohali","30.6915027, 76.7314877",Chandigarh,Chandigarh,Allopathic,30.6915027,76.7314877
Government Medical College,"Government Medical College, NMDC, Jagdalpur","19.0740973, 82.008014",Chhattisgarh,Bastar,Allopathic,19.0740973,82.008014
Chhattisgarh Institute of Medical Sciences,"Sadar Vallabh Bhai Patel hospital, Bilaspur","22.0796251, 82.1391412",Chhattisgarh,Bilaspur,Allopathic,22.0796251,82.1391412
Bhilai Nursing Home,"Opp Maurya Talkies, Sirsa Road, Bhilai","21.1938475, 81.3509416",Chhattisgarh,Durg,Allopathic,21.1938475,81.3509416
Revival Medical Centre,"C-4, Shivnath Complex Extension, Near Mourya G.E.Road, Bhilai","21.1938475, 81.3509416",Chhattisgarh,Durg,Allopathic,21.1938475,81.3509416
Chandulal Chandrakar Hospital,"Nehru Nagar, G E Road, Bhilai","21.20414, 81.3232779",Chhattisgarh,Durg,Allopathic,21.20414,81.3232779
"AIIMS, Raipur","All India Institute of Medical Sciences, 
Raipur Tatibandh, G E Road, 
Raipur","21.2513844, 81.6296413",Chhattisgarh,Raipur,Allopathic,21.2513844,81.6296413
Pt.J N M Medical College,"Pt.Jawaharlal Nehru Memorial Medical College, Jail Road, Raipur
","21.2517979, 81.6407956",Chhattisgarh,Raipur,Allopathic,21.2517979,81.6407956
Shri Vinoba Bhave Civil Hospital,"U.T.of Dadra and Nagar Haveli, Silvassa, Shri Vinoba Bhave Civil Hospital","39.3209801, -111.0937311",Dadra and Nagar Haveli,Dadra and Nagar Haveli,Allopathic,39.3209801,-111.0937311
"Government Hospital, Daman","Fort Area, Community Health 
Center, Moti Daman, Daman and Diu","20.4080193, 72.8343123",Daman and Diu,Daman,Allopathic,20.4080193,72.8343123
Hansa clinic and hospital,"Main road, Dabhel, Nani damandaman, Daman and Diu","20.4110465, 72.8917256",Daman and Diu,Daman,Allopathic,20.4110465,72.8917256
Smt. Ramaben Maternity and General Hospital,"1st floor, bhumica city centrem.g.Road, silvassa
","20.2762659, 73.0083061",Goa,North Goa,Allopathic,20.2762659,73.0083061
Goa Medical College,"Goa Medical College and Hospital Bambolim, Tiswadi","15.4647522, 73.8624893",Goa,South Goa,Allopathic,15.4647522,73.8624893
"Eye-Q Super Speciality Eye Hospitals, Bharuch","1st floor, Modi Compund, Paanch batti, Bharuch","21.7051358, 72.9958748",Gujarat,Bharuch,Allopathic,21.7051358,72.9958748
"Centre For Sight, Bharuch","GS-18, Brund Complex, Residence Plaza, OppositeGEB Office, Maktampur Road.Bharuch
","21.7092223, 73.0156094",Gujarat,Bharuch,Allopathic,21.7092223,73.0156094
Pandit Deendayal Upadhyay Medical College (P.D.U Medical College),"Civil Hospital Campus, Jamnagar Road, Rajkot 
","22.3144697, 70.7905408",Gujarat,Rajkot,Allopathic,22.3144697,70.7905408
"Centre For Sight, Rajkot","203, Embassy Building, OppositeJubilee Baug, Rajkot","22.3038945, 70.8021599",Gujarat,Rajkot,Allopathic,22.3038945,70.8021599
"Centre For Sight, Surat","3rd Floor, Samir Appts, Muktanand Nagar Complex., Surat","21.1702401, 72.8310607",Gujarat,Surat,Allopathic,21.1702401,72.8310607
Kesarl Sal Medical College and Research Institute,"OppositeScience City, Daskroi Taluka, Bhadaj, Ahmedabad","23.0867539, 72.4838768",Gujarat,Ahmedabad,Allopathic,23.0867539,72.4838768
B.J. Medical College,"B.J.Medical College, New Civil Hospital, Asarwa, Ahmedabad","23.0451653, 72.6073159",Gujarat,Ahmedabad,Allopathic,23.0451653,72.6073159
Smt.NHL Municipal Medical College,"Ellis Bridge, Ahmedabad","23.0262331, 72.5623124",Gujarat,Ahmedabad,Allopathic,23.0262331,72.5623124
Ahmedabad Homeopathy Medical College,"Bopal-Ghuma Road, Ghuma, Daskroi, Ahmedabad","23.0082573, 72.4421658",Gujarat,Ahmedabad,Ayush/ Homeopathy,23.0082573,72.4421658
